DMS_N,DMS_E,dx_range,dy_range,dz_range
48.33769,11.93453,"(-0.3511000000000001, 0.019399999999999973)","(-0.09170000000000013, 0.0013999999999998456)","(-0.033400000000000096, 0.3335000000000001)"
48.337166,11.933495,"(-0.3511000000000001, 0.019399999999999973)","(-0.09170000000000013, 0.0013999999999998456)","(-0.033400000000000096, 0.3335000000000001)"
48.33769,11.93453,"(-0.3511000000000001, 0.019399999999999973)","(-0.09170000000000013, 0.0013999999999998456)","(-0.033400000000000096, 0.3335000000000001)"
48.33762,11.93453,"(-0.3511000000000001, 0.019399999999999973)","(-0.09170000000000013, 0.0013999999999998456)","(-0.033400000000000096, 0.3335000000000001)"
48.33769,11.93453,"(-0.3511000000000001, 0.019399999999999973)","(-0.09170000000000013, 0.0013999999999998456)","(-0.033400000000000096, 0.3335000000000001)"
48.33752,11.93453,"(-0.3511000000000001, 0.019399999999999973)","(-0.09170000000000013, 0.0013999999999998456)","(-0.033400000000000096, 0.3335000000000001)"
48.33752,11.93443,"(-0.3511000000000001, 0.019399999999999973)","(-0.09170000000000013, 0.0013999999999998456)","(-0.033400000000000096, 0.3335000000000001)"
48.33742,11.9349,"(-0.3511000000000001, 0.019399999999999973)","(-0.09170000000000013, 0.0013999999999998456)","(-0.033400000000000096, 0.3335000000000001)"
48.33769,11.93453,"(-0.3511000000000001, 0.019399999999999973)","(-0.09170000000000013, 0.0013999999999998456)","(-0.033400000000000096, 0.3335000000000001)"
48.337166,11.933495,"(-0.3511000000000001, 0.019399999999999973)","(-0.09170000000000013, 0.0013999999999998456)","(-0.033400000000000096, 0.3335000000000001)"
